id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via
745098,2026-01-11,domingo,21:30:00,PB,230.0,41,santa rita,-7.141687,-34.977943,6.0,0.0,0.0,Com Vítimas Feridas,Não,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Plena Noite,Céu Claro,Dupla,Declive;Curva,Não,Decrescente
745099,2026-01-11,domingo,21:50:00,MG,50.0,"49,9",araguari,-18.735895,-48.22678,0.0,0.0,0.0,Sem Vítimas,Sim,Ausência de reação do condutor,Saída de leito carroçável,Plena Noite,Céu Claro,Dupla,Reta,Não,Crescente
745100,2026-01-11,domingo,22:00:00,MG,40.0,515,ribeirao das neves,-19.807396,-44.09579,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Colisão com objeto,Plena Noite,Céu Claro,Dupla,Reta,Não,Decrescente
745101,2026-01-11,domingo,21:10:00,BA,407.0,138,senhor do bonfim,-10.55548,-40.13665,12.0,0.0,0.0,Com Vítimas Feridas,Não,Ingestão de álcool pelo condutor,Colisão frontal,Plena Noite,Céu Claro,Simples,Declive,Sim,Crescente
745102,2026-01-11,domingo,12:15:00,MG,116.0,412,governador valadares,-18.876274,-41.96396,0.0,0.0,0.0,Sem Vítimas,Sim,Acessar a via sem observar a presença dos outros veículos,Queda de ocupante de veículo,Pleno dia,Céu Claro,Simples,Interseção de Vias,Sim,Decrescente
745103,2026-01-11,domingo,22:15:00,BA,242.0,825,barreiras,-12.12011,-45.04016,2.0,0.0,0.0,Com Vítimas Feridas,Não,Ausência de reação do condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Simples,Declive,Não,Crescente
745104,2026-01-11,domingo,18:40:00,MT,364.0,440,varzea grande,-15.605149,-56.2033,3.0,0.0,0.0,Com Vítimas Feridas,Não,Pista Escorregadia,Queda de ocupante de veículo,Plena Noite,Chuva,Simples,Curva,Não,Decrescente
745105,2026-01-11,domingo,21:30:00,PB,405.0,"28,9",sao joao do rio do peixe,-6.691032,-38.44675,0.0,6.0,0.0,Com Vítimas Feridas,Não,Ingestão de álcool pelo condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Simples,Curva,Não,Crescente
745106,2026-01-11,domingo,20:00:00,RJ,101.0,430,mangaratiba,-22.933475,-44.018944,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Ingestão de álcool pelo condutor,Atropelamento de Pedestre,Plena Noite,Céu Claro,Simples,Túnel;Reta,Não,Crescente
745107,2026-01-11,domingo,20:00:00,MG,116.0,376,mathias lobato,-18.5939,-41.925674,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Avarias e/ou desgaste excessivo no pneu,Capotamento,Plena Noite,Céu Claro,Simples,Curva,Não,Crescente
745108,2026-01-11,domingo,20:00:00,MG,116.0,"550,5",santa barbara do leste,-19.979753,-42.141216,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Pedestre andava na pista,Atropelamento de Pedestre,Plena Noite,Céu Claro,Simples,Reta,Sim,Crescente
745110,2026-01-11,domingo,19:00:00,MA,316.0,409,santa luzia,-3.97465,-45.669273,2.0,1.0,0.0,Com Vítimas Feridas,Sim,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Plena Noite,Céu Claro,Simples,Reta,Sim,Crescente
745111,2026-01-11,domingo,19:20:00,MG,116.0,373,frei inocencio,-18.562572,-41.90675,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Plena Noite,Céu Claro,Simples,Interseção de Vias,Sim,Crescente
745112,2026-01-11,domingo,20:30:00,MT,364.0,1190,comodoro,-13.798594,-59.4635,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Animais na Pista,Saída de leito carroçável,Plena Noite,Chuva,Simples,Declive;Reta,Não,Crescente
745113,2026-01-11,domingo,22:25:00,PR,163.0,37,santo antonio do sudoeste,-26.051336,-53.726498,6.0,0.0,0.0,Com Vítimas Feridas,Não,Ausência de reação do condutor,Tombamento,Plena Noite,Céu Claro,Simples,Aclive;Reta,Não,Decrescente
745114,2026-01-11,domingo,06:30:00,MG,116.0,412,governador valadares,-18.870903,-41.969334,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Pleno dia,Céu Claro,Simples,Reta,Não,Decrescente
745115,2026-01-11,domingo,18:25:00,MG,116.0,"456,3",engenheiro caldas,-19.205948,-42.0507,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Colisão traseira,Pleno dia,Céu Claro,Simples,Declive,Não,Decrescente
745116,2026-01-11,domingo,22:30:00,DF,20.0,7,brasilia,-15.661663,-47.798782,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Saída de leito carroçável,Plena Noite,Céu Claro,Dupla,Aclive;Reta,Sim,Crescente
745117,2026-01-11,domingo,06:35:00,MG,116.0,412,governador valadares,-18.871004,-41.969185,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Colisão traseira,Pleno dia,Céu Claro,Dupla,Reta,Não,Decrescente
745118,2026-01-11,domingo,17:40:00,MA,226.0,39,timon,-5.142947,-43.151787,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Acesso irregular,Colisão lateral mesmo sentido,Pleno dia,Sol,Simples,Reta,Não,Crescente
745119,2026-01-11,domingo,15:00:00,MG,381.0,239,santana do paraiso,-19.42026,-42.49427,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Colisão traseira,Pleno dia,Céu Claro,Simples,Reta,Não,Decrescente
745120,2026-01-11,domingo,23:00:00,SC,101.0,"214,5",palhoca,-27.64809,-48.6732,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Colisão traseira,Plena Noite,Nublado,Múltipla,Reta,Sim,Crescente
745121,2026-01-11,domingo,23:30:00,PR,376.0,236,apucarana,-23.584005,-51.48551,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Saída de leito carroçável,Plena Noite,Nublado,Dupla,Reta,Não,Crescente
745122,2026-01-11,domingo,23:00:00,PE,101.0,"73,9",recife,-8.10084,-34.949745,0.0,0.0,0.0,Sem Vítimas,Sim,Animais na Pista,Colisão transversal,Plena Noite,Céu Claro,Dupla,Reta,Sim,Crescente
745123,2026-01-12,segunda-feira,00:00:00,SP,116.0,125,cacapava,-23.094942,-45.68043,0.0,0.0,0.0,Sem Vítimas,Sim,Velocidade Incompatível,Colisão traseira,Plena Noite,Céu Claro,Dupla,Reta,Não,Crescente
745124,2026-01-11,domingo,23:30:00,RS,116.0,"642,9",jaguarao,-32.451073,-53.27104,0.0,0.0,0.0,Sem Vítimas,Não,Avarias e/ou desgaste excessivo no pneu,Saída de leito carroçável,Plena Noite,Nublado,Simples,Curva,Não,Crescente
745125,2026-01-11,domingo,23:00:00,GO,80.0,109,vila propicio,-15.14581,-48.81631,0.0,0.0,0.0,Sem Vítimas,Não,Ingestão de álcool pelo condutor,Saída de leito carroçável,Plena Noite,Céu Claro,Simples,Reta,Não,Crescente
