id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via,osm_total_elementos,osm_tipos
652562,2025-01-01,quarta-feira,13:18:00,PR,369.0,"56,9",bandeirantes,-23.119595,-50.377453,2.0,0.0,2.0,Com Vítimas Fatais,Sim,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão com objeto,Pleno dia,Nublado,Simples,Interseção de Vias;Reta,Sim,Decrescente,0,{}
652563,2025-01-01,quarta-feira,13:00:00,RO,364.0,691,candeias do jamari,-8.796194,-63.687386,3.0,0.0,0.0,Com Vítimas Feridas,Sim,Ingestão de álcool pelo condutor,Queda de ocupante de veículo,Pleno dia,Chuva,Dupla,Reta,Sim,Crescente,0,{}
652564,2025-01-01,quarta-feira,13:30:00,BA,101.0,31,esplanada,-11.7944565,-37.95467,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Velocidade Incompatível,Capotamento,Pleno dia,Céu Claro,Dupla,Em Obras;Curva,Não,Crescente,2,"{'hump': 1, 'speed_camera': 1}"
652565,2025-01-01,quarta-feira,14:10:00,SC,282.0,448,campos novos,-27.36561,-51.263103,12.0,4.0,0.0,Com Vítimas Feridas,Não,Velocidade Incompatível,Colisão com objeto,Pleno dia,Garoa/Chuvisco,Simples,Reta;Declive,Não,Crescente,0,{}
652566,2025-01-01,quarta-feira,13:30:00,MG,40.0,"463,8",sete lagoas,-19.422249,-44.338703,4.0,0.0,0.0,Com Vítimas Feridas,Não,Falta de elemento de contenção que evite a saída do leito carroçável,Capotamento,Pleno dia,Céu Claro,Dupla,Reta;Declive,Não,Decrescente,0,{}
652567,2025-01-01,quarta-feira,14:40:00,CE,222.0,"64,9",sao goncalo do amarante,-3.67087,-39.124454,0.0,8.0,0.0,Com Vítimas Feridas,Não,Acessar a via sem observar a presença dos outros veículos,Saída de leito carroçável,Pleno dia,Céu Claro,Simples,Curva,Não,Crescente,0,{}
652568,2025-01-01,quarta-feira,14:00:00,PA,230.0,120,maraba,-5.3503833,-49.11434,0.0,6.0,0.0,Com Vítimas Feridas,Não,Velocidade Incompatível,Queda de ocupante de veículo,Pleno dia,Céu Claro,Dupla,Reta,Não,Crescente,2,{'bus_stop': 2}
652569,2025-01-01,quarta-feira,10:40:00,MT,70.0,669,caceres,-16.041485,-57.25884,0.0,0.0,10.0,Com Vítimas Fatais,Sim,Transitar na contramão,Derramamento de carga,Pleno dia,Céu Claro,Simples,Reta,Não,Crescente,0,{}
652570,2025-01-01,quarta-feira,12:10:00,ES,262.0,155,ibatiba,-20.226519,-41.47056,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Colisão com objeto,Pleno dia,Nublado,Simples,Reta,Não,Crescente,0,{}
652571,2025-01-01,quarta-feira,13:20:00,RJ,116.0,129,mage,-22.660671,-43.116615,0.0,0.0,0.0,Sem Vítimas,Não,Reação tardia ou ineficiente do condutor,Tombamento,Pleno dia,Nublado,Dupla,Curva,Não,Decrescente,2,{'bus_stop': 2}
